,brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,warranty,Touchscreen,msoffice,rating,Price,Number of Ratings,Number of Reviews
209,3,1,2,1,3,1,4,0,2,1,0,2,3,0,0,2,55990,3,0
210,7,1,2,5,3,0,4,0,2,1,0,2,0,1,1,3,81998,14,3
211,4,1,2,5,3,1,4,0,2,1,0,0,0,1,1,2,136590,0,0
212,7,1,2,5,3,1,4,0,2,1,0,2,0,0,0,2,59490,33,7
213,1,1,2,1,3,1,4,0,2,1,0,2,0,0,0,2,49800,0,0
214,5,1,2,1,3,1,4,0,2,1,0,0,0,0,1,1,61999,4,0
215,4,1,2,1,3,1,6,0,2,1,0,2,3,0,0,3,54990,116,15
216,4,1,2,1,3,1,6,0,2,1,0,2,0,0,0,3,53990,206,17
217,5,1,2,1,3,1,6,0,2,1,0,0,1,0,1,3,52990,300,24
218,4,1,2,1,0,1,6,0,2,1,0,2,0,0,1,3,67990,108,6
219,1,1,2,0,3,1,6,0,2,1,2,1,0,0,0,3,57990,3712,412
220,5,1,2,1,0,1,6,0,2,1,0,2,0,0,1,3,62300,825,95
221,5,1,2,1,3,1,6,0,2,1,0,2,0,0,0,2,52990,0,0
222,5,1,2,1,3,1,6,0,2,1,0,2,1,0,1,3,51990,85,4
223,5,1,2,1,0,1,6,0,2,1,0,2,3,0,0,3,61990,56,7
224,1,1,2,1,3,5,6,0,2,0,0,0,0,1,1,3,63990,10,1
225,5,1,2,1,3,1,6,0,2,1,0,0,0,0,1,3,65990,17,4
226,7,1,2,1,3,1,6,0,2,1,0,2,0,0,0,3,52990,155,20
227,5,1,2,0,3,1,6,0,2,1,0,2,0,0,0,2,49990,0,0
228,1,1,2,1,3,1,6,0,2,1,2,1,3,0,0,3,71990,91,17
229,1,1,2,0,3,1,6,0,2,1,0,0,0,0,0,3,47990,35,2
230,5,1,2,0,3,1,6,0,2,0,0,2,1,0,1,3,48490,126,13
231,1,1,2,1,3,1,6,0,2,1,2,1,3,0,0,3,72990,74,10
232,6,1,2,1,0,1,6,0,2,1,2,0,1,0,0,3,76990,75,17
233,1,1,2,1,0,1,6,0,2,1,3,1,0,0,1,3,89990,124,17
234,6,1,2,0,3,1,6,0,2,1,2,0,1,0,0,3,59990,1597,228
235,1,1,2,0,3,1,6,0,2,1,2,1,0,0,1,3,65990,3850,378
236,3,1,2,1,3,1,6,0,2,1,0,0,3,1,0,3,71990,7,1
237,3,1,2,1,3,1,6,0,2,1,0,0,3,1,0,3,71890,3,0
238,5,1,2,1,0,1,6,0,2,1,0,2,3,0,0,2,64990,0,0
239,1,1,2,1,0,1,6,0,2,1,0,0,0,0,0,2,65990,0,0
240,4,1,2,1,3,1,6,0,2,1,0,2,3,0,0,3,55999,5,1
241,1,1,2,1,0,1,6,0,2,1,2,0,0,0,0,3,73490,213,45
242,4,1,2,1,0,1,6,0,2,1,0,2,0,0,1,3,74490,10,0
243,4,1,2,1,3,1,6,0,2,1,0,2,0,0,1,3,58340,69,6
244,7,1,2,1,3,1,6,0,2,1,0,2,0,0,0,3,55999,6,0
245,3,1,2,1,0,1,6,0,2,1,0,2,3,0,0,3,67990,93,9
